Rank,Team,2018,Last 3,Last 1,Home,Away,2017
1,Tennessee,3.9,4,9,2.8,5,8.1
2,Baltimore,4.1,7,11,4.6,3.5,4.6
3,Denver,4.1,8.7,9,5.4,2.9,6
4,Houston,4.2,3,0,2.9,5.8,6.4
5,New Orleans,4.9,3,6,4.3,5.8,7.8
6,Arizona,5,6.7,6,4,6,8
7,Cincinnati,5.2,4,6,5.9,4.6,6.8
8,LA Rams,5.4,6.7,10,7.3,3.6,6.3
9,Indianapolis,5.4,4.7,7,5,5.7,8.1
10,Jacksonville,5.6,4.3,3,6.6,4.8,5.7
11,LA Chargers,6.1,7.7,3,5.9,6.2,4.9
12,Minnesota,6.1,3.7,11,3.8,8.4,4.9
13,Detroit,6.2,5.7,0,8.2,4.1,6.9
14,Cleveland,6.2,8,3,4.5,8,4.4
15,Buffalo,6.4,1,0,6.6,6.1,6.6
16,New England,6.4,12.7,0,6.9,6,5.6
17,Washington,6.5,8.7,7,5.6,7.4,7.8
18,Green Bay,6.5,6.7,7,6.4,6.6,6.9
19,Carolina,6.6,6.7,14,7,6.2,6.6
20,Philadelphia,7,4,3,8,6.2,5.8
21,Chicago,7.1,2,6,8.1,6,4.5
22,Tampa Bay,7.1,4.3,10,7.2,7,5.9
23,San Francisco,7.2,4.3,3,7.4,7.1,6.2
24,Pittsburgh,7.7,3.3,3,7.1,8.2,4.6
25,Seattle,7.8,10.3,14,6.9,8.7,4
26,Dallas,7.9,10.7,7,8.1,7.8,6.8
27,NY Jets,8.4,13.7,10,9.8,7,8.7
28,Atlanta,8.6,6.3,12,12.1,5.1,4.7
29,Kansas City,8.7,6.7,14,6.1,11.9,7
30,Oakland,9.4,8,7,10.3,8.7,5.8
31,Miami,9.9,13.7,14,7.5,12.2,5
32,NY Giants,10.6,8.3,15,10.8,10.4,8.8
