DATE,FAVORITE,SPREAD,UNDERDOG,TOTAL,AWAY MONEY LINE,HOME MONEY LINE
9/6/18 20:20,Falcons,-1,at Eagles,44.5,-105,-105
9/9/18 13:00,Titans,-1,at Dolphins,43.5,-102,-108
9/9/18 13:00,at Vikings,-6,49ers,46.5,240,-260
9/9/18 13:00,at Patriots,-6,Texans,49,225,-245
9/9/18 13:00,at Saints,-10,Buccaneers,50,400,-450
9/9/18 13:00,Jaguars,-2.5,at Giants,42.5,-133,123
9/9/18 13:00,at Ravens,-7.5,Bills,38.5,310,-340
9/9/18 13:00,Steelers,-3.5,at Browns,41,-170,160
9/9/18 13:00,Bengals,-1,at Colts,47.5,-112,102
9/9/18 16:05,at Chargers,-3.5,Chiefs,48,170,-185
9/9/18 16:25,Redskins,-1.5,at Cardinals,43.5,111,-121
9/9/18 16:25,at Broncos,-3,Seahawks,42.5,160,-170
9/9/18 16:25,at Panthers,-2.5,Cowboys,42,135,-145
9/9/18 20:20,at Packers,-6.5,Bears,45,255,-280
9/10/18 19:10,at Lions,-7,Jets,44,285,-315
9/10/18 22:20,Rams,-6,at Raiders,47.5,-250,230
9/13/18 20:20,Ravens,-1,at Bengals,43,-104,-106
9/16/18 13:00,at Falcons,-5.5,Panthers,43.5,209,-234
9/16/18 13:00,Chargers,-7.5,at Bills,41.5,-307,270
9/16/18 13:00,Vikings,-2,at Packers,45,-120,109
9/16/18 13:00,at Saints,-9.5,Browns,51,376,-439
9/16/18 13:00,at Jets,-3,Dolphins,43,145,-161
9/16/18 13:00,at Steelers,-4.5,Chiefs,52,181,-202
9/16/18 13:00,Eagles,-3,at Buccaneers,46.5,-147,133
9/16/18 13:00,Texans,-3.5,at Titans,41,-176,159
9/16/18 13:00,at Redskins,-6,Colts,48,213,-239
9/16/18 16:05,at 49ers,-6,Lions,48.5,210,-236
9/16/18 16:05,at Rams,-13.5,Cardinals,43.5,560,-687
9/16/18 16:25,at Broncos,-5.5,Raiders,44,209,-235
9/16/18 16:25,Patriots,-2,at Jaguars,44.5,-127,115
9/16/18 20:20,at Cowboys,-3,Giants,42,138,-152
9/17/18 20:15,at Bears,-5,Seahawks,42.5,209,-234
9/20/18 20:20,at Browns,-3,Jets,41,163,-173
9/23/18 13:00,Saints,-1.5,at Falcons,54,107,-117
9/23/18 13:00,at Ravens,-5.5,Broncos,46.5,200,-220
9/23/18 13:00,at Panthers,-3,Bengals,44,133,-143
9/23/18 13:00,at Texans,-6.5,Giants,44.5,235,-255
9/23/18 13:00,at Jaguars,-10,Titans,39.5,390,-440
9/23/18 13:00,at Chiefs,-5.5,49ers,53.5,225,-245
9/23/18 13:00,at Dolphins,-2.5,Raiders,46,128,-138
9/23/18 13:00,at Vikings,-16.5,Bills,41,950,-1150
9/23/18 13:00,at Eagles,-6,Colts,45,248,-270
9/23/18 13:00,Packers,-2,at Redskins,46.5,-123,113
9/23/18 16:05,at Rams,-7,Chargers,49,270,-300
9/23/18 16:25,Bears,-5.5,at Cardinals,38.5,-220,200
9/23/18 16:25,Cowboys,-1.5,at Seahawks,40,108,-118
9/23/18 20:20,Patriots,-6.5,at Lions,55,-300,270
9/24/18 20:15,Steelers,-1,at Buccaneers,55,100,-110
9/27/18 20:20,at Rams,-7,Vikings,49,260,-290
9/30/18 13:00,at Patriots,-6.5,Dolphins,50.5,255,-280
9/30/18 13:00,Eagles,-2.5,at Titans,41.5,-135,125
9/30/18 13:00,at Falcons,-3.5,Bengals,52.5,165,-175
9/30/18 13:00,at Bears,-2.5,Buccaneers,45.5,125,-135
9/30/18 13:00,at Cowboys,-2.5,Lions,44,120,-130
9/30/18 13:00,at Packers,-9.5,Bills,44,315,-345
9/30/18 13:00,Texans,-1,at Colts,48.5,-114,104
9/30/18 13:00,at Jaguars,-7,Jets,40.5,295,-325
9/30/18 16:05,Seahawks,-3.5,at Cardinals,40,-185,170
9/30/18 16:05,at Raiders,-2.5,Browns,44.5,123,-133
9/30/18 16:25,Saints,-3,at Giants,52,-162,152
