Rank,Team,2018,Last 3,Last 1,Home,Away,2017
1,Chicago,5.8,5,3,5.4,6.2,11.9
2,Dallas,7.8,11,20,5.6,10,7.9
3,New England,8.8,2.3,0,5,12.3,10.7
4,Houston,10.1,12.3,21,9.7,10.5,14.9
5,Philadelphia,10.3,5.3,10,11.4,9.4,8.3
6,Pittsburgh,10.3,11.3,10,11.1,9.5,10.4
7,Jacksonville,10.3,9,17,3.1,15.9,7.3
8,Detroit,10.4,7,0,10.5,10.4,11.9
9,Baltimore,10.7,7.3,12,8.9,12.8,9.9
10,Miami,10.9,14,14,9.1,12.6,13.7
11,NY Giants,10.9,9.3,14,12.2,9.6,11.4
12,Tennessee,10.9,9,17,10.8,11.1,11.7
13,Seattle,11,11,10,10.8,11.2,11.1
14,LA Chargers,11.1,12.7,35,10.3,11.5,8.1
15,Indianapolis,11.1,11.3,24,10.1,11.8,10.7
16,LA Rams,11.5,7.7,3,12.2,10.9,11.8
17,Kansas City,11.6,8,14,7.9,16.1,9.5
18,Atlanta,11.9,11.3,17,11.2,12.6,9.9
19,Minnesota,11.9,10.7,13,12.5,11.4,7.9
20,Carolina,12.1,5.3,0,9.2,14.9,10.7
21,Washington,12.1,9.7,10,14.9,9.4,11.5
22,New Orleans,12.4,15.7,10,13.8,10.6,10.7
23,Cleveland,12.5,10,20,11.6,13.4,14.5
24,Denver,12.6,11.3,7,11,14.1,13.8
25,Oakland,13.1,13.7,21,11.9,14,12.2
26,NY Jets,13.3,18,21,15.9,10.8,11
27,San Francisco,14.2,17,31,9.9,18.6,12.4
28,Buffalo,14.5,13.7,14,15.6,13.4,9.2
29,Green Bay,14.7,18.7,21,11.5,17.9,12.6
30,Arizona,15.3,20.3,14,13.6,17,9.6
31,Tampa Bay,16.1,11.3,7,8.5,23.6,13
32,Cincinnati,16.4,8.7,3,16,16.8,11
