Rank,Team,2018,Last 3,Last 1,Home,Away,2017
1,Baltimore,7.2,11.7,11,9,5.1,8.9
2,Tennessee,7.8,7.3,16,7.8,7.9,11.2
3,Buffalo,8.9,4.3,3,7.8,10,12.5
4,Denver,9.2,11,16,10.1,8.4,10.1
5,New Orleans,9.3,7.7,13,10.4,7.9,10.5
6,Minnesota,9.4,6,11,7.1,11.6,9.6
7,Jacksonville,9.4,5.3,3,10.7,8.4,10.3
8,Houston,9.6,6.3,0,7.8,11.6,12.4
9,Indianapolis,9.8,7,7,9.5,10.1,14
10,Washington,10.3,11,14,9.8,10.9,12.6
11,Green Bay,10.3,12.3,10,9.1,11.5,11.4
12,Philadelphia,10.3,6.3,10,9.1,11.3,9.8
13,LA Chargers,10.4,9.7,6,11.3,9.9,8.7
14,Seattle,10.6,15.3,14,10.9,10.4,9.6
15,Arizona,11.2,12.3,13,10.2,12.2,12.8
16,Chicago,11.4,6.7,13,11.9,10.9,8.1
17,New England,11.5,18.3,3,12.9,10.3,8.8
18,Cleveland,11.6,10,6,10.4,12.9,10.6
19,LA Rams,11.7,11.7,10,15.2,8.6,9.1
20,Carolina,11.8,11.3,14,12.6,11,10.4
21,Cincinnati,12.1,10.7,13,12.5,11.6,10.6
22,Detroit,12.1,6.7,0,15.5,8.6,11.6
23,Pittsburgh,12.2,6.7,3,11.4,13,10
24,San Francisco,12.9,11.3,17,12,13.9,11
25,Tampa Bay,12.9,15.7,27,13.8,12.1,10.5
26,Dallas,12.9,18,10,13.3,12.6,12.9
27,NY Jets,13.9,17,17,14.4,13.4,12.9
28,Atlanta,14.1,7.3,15,14.9,13.4,9.2
29,Kansas City,14.3,7.7,17,10.9,18.5,11.5
30,NY Giants,14.8,17.7,22,15.5,14.1,12.8
31,Oakland,16.1,12.7,14,18.4,14.3,11.1
32,Miami,16.2,19.3,28,12.5,19.9,10.9
