,Unnamed: 0,FAVORITE,SPREAD,UNDERDOG,TOTAL,AWAY MONEY LINE,HOME MONEY LINE,H/A
0,0,Atlanta Falcons,-1.0,Philadelphia Eagles,44.5,-105,-105,A
1,1,Tennessee Titans,-1.0,Miami Dolphins,43.5,-102,-108,A
2,2,Minnesota Vikings,-6.0,San Francisco 49ers,46.5,240,-260,H
3,3,New England Patriots,-6.0,Houston Texans,49.0,225,-245,H
4,4,New Orleans Saints,-10.0,Tampa Bay Buccaneers,50.0,400,-450,H
5,5,Jacksonville Jaguars,-2.5,New York Giants,42.5,-133,123,A
6,6,Baltimore Ravens,-7.5,Buffalo Bills,38.5,310,-340,H
7,7,Pittsburgh Steelers,-3.5,Cleveland Browns,41.0,-170,160,A
8,8,Cincinnati Bengals,-1.0,Indianapolis Colts,47.5,-112,102,A
9,9,Los Angeles Chargers,-3.5,Kansas City Chiefs,48.0,170,-185,H
10,10,Washington Redskins,-1.5,Arizona Cardinals,43.5,111,-121,A
11,11,Denver Broncos,-3.0,Seattle Seahawks,42.5,160,-170,H
12,12,Carolina Panthers,-2.5,Dallas Cowboys,42.0,135,-145,H
13,13,Green Bay Packers,-6.5,Chicago Bears,45.0,255,-280,H
14,14,Detroit Lions,-7.0,New York Jets,44.0,285,-315,H
15,15,Los Angeles Rams,-6.0,Oakland Raiders,47.5,-250,230,A
16,16,Baltimore Ravens,-1.0,Cincinnati Bengals,43.0,-104,-106,A
17,17,Atlanta Falcons,-5.5,Carolina Panthers,43.5,209,-234,H
18,18,Los Angeles Chargers,-7.5,Buffalo Bills,41.5,-307,270,A
19,19,Minnesota Vikings,-2.0,Green Bay Packers,45.0,-120,109,A
20,20,New Orleans Saints,-9.5,Cleveland Browns,51.0,376,-439,H
21,21,New York Jets,-3.0,Miami Dolphins,43.0,145,-161,H
22,22,Pittsburgh Steelers,-4.5,Kansas City Chiefs,52.0,181,-202,H
23,23,Philadelphia Eagles,-3.0,Tampa Bay Buccaneers,46.5,-147,133,A
24,24,Houston Texans,-3.5,Tennessee Titans,41.0,-176,159,A
25,25,Washington Redskins,-6.0,Indianapolis Colts,48.0,213,-239,H
26,26,San Francisco 49ers,-6.0,Detroit Lions,48.5,210,-236,H
27,27,Los Angeles Rams,-13.5,Arizona Cardinals,43.5,560,-687,H
28,28,Denver Broncos,-5.5,Oakland Raiders,44.0,209,-235,H
29,29,New England Patriots,-2.0,Jacksonville Jaguars,44.5,-127,115,H
30,30,Dallas Cowboys,-3.0,New York Giants,42.0,138,-152,H
31,31,Chicago Bears,-5.0,Seattle Seahawks,42.5,209,-234,H
32,32,Cleveland Browns,-3.0,New York Jets,41.0,163,-173,H
33,33,New Orleans Saints,-1.5,Atlanta Falcons,54.0,107,-117,A
34,34,Baltimore Ravens,-5.5,Denver Broncos,46.5,200,-220,H
35,35,Carolina Panthers,-3.0,Cincinnati Bengals,44.0,133,-143,H
36,36,Houston Texans,-6.5,New York Giants,44.5,235,-255,H
37,37,Jacksonville Jaguars,-10.0,Tennessee Titans,39.5,390,-440,H
38,38,Kansas City Chiefs,-5.5,San Francisco 49ers,53.5,225,-245,H
39,39,Miami Dolphins,-2.5,Oakland Raiders,46.0,128,-138,H
40,40,Minnesota Vikings,-16.5,Buffalo Bills,41.0,950,-1150,H
41,41,Philadelphia Eagles,-6.0,Indianapolis Colts,45.0,248,-270,H
42,42,Green Bay Packers,-2.0,Washington Redskins,46.5,-123,113,A
43,43,Los Angeles Rams,-7.0,Los Angeles Chargers,49.0,270,-300,H
44,44,Chicago Bears,-5.5,Arizona Cardinals,38.5,-220,200,A
45,45,Dallas Cowboys,-1.5,Seattle Seahawks,40.0,108,-118,A
46,46,New England Patriots,-6.5,Detroit Lions,55.0,-300,270,H
47,47,Pittsburgh Steelers,-1.0,Tampa Bay Buccaneers,55.0,100,-110,A
48,48,Los Angeles Rams,-7.0,Minnesota Vikings,49.0,260,-290,H
49,49,New England Patriots,-6.5,Miami Dolphins,50.5,255,-280,H
50,50,Philadelphia Eagles,-2.5,Tennessee Titans,41.5,-135,125,A
51,51,Atlanta Falcons,-3.5,Cincinnati Bengals,52.5,165,-175,H
52,52,Chicago Bears,-2.5,Tampa Bay Buccaneers,45.5,125,-135,H
53,53,Dallas Cowboys,-2.5,Detroit Lions,44.0,120,-130,H
54,54,Green Bay Packers,-9.5,Buffalo Bills,44.0,315,-345,H
55,55,Houston Texans,-1.0,Indianapolis Colts,48.5,-114,104,A
56,56,Jacksonville Jaguars,-7.0,New York Jets,40.5,295,-325,H
57,57,Seattle Seahawks,-3.5,Arizona Cardinals,40.0,-185,170,A
58,58,Oakland Raiders,-2.5,Cleveland Browns,44.5,123,-133,H
59,59,New Orleans Saints,-3.0,New York Giants,52.0,-162,152,A
