,FAVORITE,SPREAD,UNDERDOG,TOTAL,AWAY MONEY LINE,HOME MONEY LINE,H/A
0,Falcons,-1.0,Eagles,44.5,-105,-105,A
1,Titans,-1.0,Dolphins,43.5,-102,-108,A
2,Vikings,-6.0,49ers,46.5,240,-260,H
3,Patriots,-6.0,Texans,49.0,225,-245,H
4,Saints,-10.0,Buccaneers,50.0,400,-450,H
5,Jaguars,-2.5,Giants,42.5,-133,123,A
6,Ravens,-7.5,Bills,38.5,310,-340,H
7,Steelers,-3.5,Browns,41.0,-170,160,A
8,Bengals,-1.0,Colts,47.5,-112,102,A
9,Chargers,-3.5,Chiefs,48.0,170,-185,H
10,Redskins,-1.5,Cardinals,43.5,111,-121,A
11,Broncos,-3.0,Seahawks,42.5,160,-170,H
12,Panthers,-2.5,Cowboys,42.0,135,-145,H
13,Packers,-6.5,Bears,45.0,255,-280,H
14,Lions,-7.0,Jets,44.0,285,-315,H
15,Rams,-6.0,Raiders,47.5,-250,230,A
16,Ravens,-1.0,Bengals,43.0,-104,-106,A
17,Falcons,-5.5,Panthers,43.5,209,-234,H
18,Chargers,-7.5,Bills,41.5,-307,270,A
19,Vikings,-2.0,Packers,45.0,-120,109,A
20,Saints,-9.5,Browns,51.0,376,-439,H
21,Jets,-3.0,Dolphins,43.0,145,-161,H
22,Steelers,-4.5,Chiefs,52.0,181,-202,H
23,Eagles,-3.0,Buccaneers,46.5,-147,133,A
24,Texans,-3.5,Titans,41.0,-176,159,A
25,Redskins,-6.0,Colts,48.0,213,-239,H
26,49ers,-6.0,Lions,48.5,210,-236,H
27,Rams,-13.5,Cardinals,43.5,560,-687,H
28,Broncos,-5.5,Raiders,44.0,209,-235,H
29,Patriots,-2.0,Jaguars,44.5,-127,115,H
30,Cowboys,-3.0,Giants,42.0,138,-152,H
31,Bears,-5.0,Seahawks,42.5,209,-234,H
32,Browns,-3.0,Jets,41.0,163,-173,H
33,Saints,-1.5,Falcons,54.0,107,-117,A
34,Ravens,-5.5,Broncos,46.5,200,-220,H
35,Panthers,-3.0,Bengals,44.0,133,-143,H
36,Texans,-6.5,Giants,44.5,235,-255,H
